region,years,sex,age_gr,population
netherlands,2006,Male,0 to 9,962991.5
netherlands,2006,Male,10 to 19,1015587
netherlands,2006,Male,100 and over,0
netherlands,2006,Male,20 to 29,984033.5
netherlands,2006,Male,30 to 39,1191280
netherlands,2006,Male,40 to 49,1289655
netherlands,2006,Male,50 to 59,1134513
netherlands,2006,Male,60 to 69,816230
netherlands,2006,Male,70 to 79,480853.5
netherlands,2006,Male,80 to 89,187425
netherlands,2006,Male,90 to 99,17183
netherlands,2006,Male,Overall,8079751.5
netherlands,2007,Both,0 to 9,1867662.5
netherlands,2007,Both,10 to 19,1982525.5
netherlands,2007,Both,100 and over,0
netherlands,2007,Both,20 to 29,1962129
netherlands,2007,Both,30 to 39,2301585
netherlands,2007,Both,40 to 49,2559980
netherlands,2007,Both,50 to 59,2238058.5
netherlands,2007,Both,60 to 69,1730569.5
netherlands,2007,Both,70 to 79,1089788
netherlands,2007,Both,80 to 89,555323.5
netherlands,2007,Both,90 to 99,74799
netherlands,2007,Both,Overall,16362420.5
netherlands,2007,Female,0 to 9,912293.5
netherlands,2007,Female,10 to 19,968698
netherlands,2007,Female,100 and over,0
netherlands,2007,Female,20 to 29,973756.5
netherlands,2007,Female,30 to 39,1146654.5
netherlands,2007,Female,40 to 49,1266194.5
netherlands,2007,Female,50 to 59,1110865
netherlands,2007,Female,60 to 69,869033
netherlands,2007,Female,70 to 79,599348
netherlands,2007,Female,80 to 89,361612
netherlands,2007,Female,90 to 99,57046
netherlands,2007,Female,Overall,8265501
netherlands,2007,Male,0 to 9,955369
netherlands,2007,Male,10 to 19,1013827.5
netherlands,2007,Male,100 and over,0
netherlands,2007,Male,20 to 29,988372.5
netherlands,2007,Male,30 to 39,1154930.5
netherlands,2007,Male,40 to 49,1293785.5
netherlands,2007,Male,50 to 59,1127193.5
netherlands,2007,Male,60 to 69,861536.5
netherlands,2007,Male,70 to 79,490440
netherlands,2007,Male,80 to 89,193711.5
netherlands,2007,Male,90 to 99,17753
netherlands,2007,Male,Overall,8096919.5
netherlands,2008,Both,0 to 9,1849484.5
netherlands,2008,Both,10 to 19,1989210.5
netherlands,2008,Both,100 and over,0
netherlands,2008,Both,20 to 29,1977219.5
netherlands,2008,Both,30 to 39,2243059
netherlands,2008,Both,40 to 49,2569383
netherlands,2008,Both,50 to 59,2244298.5
netherlands,2008,Both,60 to 69,1798280.5
netherlands,2008,Both,70 to 79,1108341
netherlands,2008,Both,80 to 89,570424.5
netherlands,2008,Both,90 to 99,75573
netherlands,2008,Both,Overall,16425274
netherlands,2008,Female,0 to 9,903429.5
netherlands,2008,Female,10 to 19,971899
netherlands,2008,Female,100 and over,0
netherlands,2008,Female,20 to 29,980173.5
netherlands,2008,Female,30 to 39,1118902.5
netherlands,2008,Female,40 to 49,1271258
netherlands,2008,Female,50 to 59,1115386
netherlands,2008,Female,60 to 69,901824.5
netherlands,2008,Female,70 to 79,605300
netherlands,2008,Female,80 to 89,368931.5
netherlands,2008,Female,90 to 99,57512
netherlands,2008,Female,Overall,8294616.5
netherlands,2008,Male,0 to 9,946055
netherlands,2008,Male,10 to 19,1017311.5
netherlands,2008,Male,100 and over,0
netherlands,2008,Male,20 to 29,997046
netherlands,2008,Male,30 to 39,1124156.5
netherlands,2008,Male,40 to 49,1298125
netherlands,2008,Male,50 to 59,1128912.5
netherlands,2008,Male,60 to 69,896456
netherlands,2008,Male,70 to 79,503041
netherlands,2008,Male,80 to 89,201493
netherlands,2008,Male,90 to 99,18061
netherlands,2008,Male,Overall,8130657.5
netherlands,2009,Both,0 to 9,1834423.5
netherlands,2009,Both,10 to 19,1996818
netherlands,2009,Both,100 and over,0
netherlands,2009,Both,20 to 29,2001148.5
netherlands,2009,Both,30 to 39,2178012.5
netherlands,2009,Both,40 to 49,2586602.5
netherlands,2009,Both,50 to 59,2265202.5
netherlands,2009,Both,60 to 69,1855636.5
netherlands,2009,Both,70 to 79,1129667.5
netherlands,2009,Both,80 to 89,583935.5
netherlands,2009,Both,90 to 99,77455
netherlands,2009,Both,Overall,16508902
netherlands,2009,Female,0 to 9,896139.5
netherlands,2009,Female,10 to 19,975008
netherlands,2009,Female,100 and over,0
netherlands,2009,Female,20 to 29,991365.5
netherlands,2009,Female,30 to 39,1087239
netherlands,2009,Female,40 to 49,1279783
netherlands,2009,Female,50 to 59,1126884
netherlands,2009,Female,60 to 69,929659
netherlands,2009,Female,70 to 79,613225.5
netherlands,2009,Female,80 to 89,374931.5
netherlands,2009,Female,90 to 99,58595.5
netherlands,2009,Female,Overall,8332830.5
netherlands,2009,Male,0 to 9,938284
netherlands,2009,Male,10 to 19,1021810
netherlands,2009,Male,100 and over,0
netherlands,2009,Male,20 to 29,1009783
netherlands,2009,Male,30 to 39,1090773.5
netherlands,2009,Male,40 to 49,1306819.5
netherlands,2009,Male,50 to 59,1138318.5
netherlands,2009,Male,60 to 69,925977.5
netherlands,2009,Male,70 to 79,516442
netherlands,2009,Male,80 to 89,209004
netherlands,2009,Male,90 to 99,18859.5
netherlands,2009,Male,Overall,8176071.5
netherlands,2010,Both,0 to 9,1814980.5
netherlands,2010,Both,10 to 19,2002093.5
netherlands,2010,Both,100 and over,0
netherlands,2010,Both,20 to 29,2025561.5
netherlands,2010,Both,30 to 39,2125297.5
netherlands,2010,Both,40 to 49,2596317
netherlands,2010,Both,50 to 59,2291768
netherlands,2010,Both,60 to 69,1904095
netherlands,2010,Both,70 to 79,1152133.5
netherlands,2010,Both,80 to 89,596684
netherlands,2010,Both,90 to 99,84351
netherlands,2010,Both,Overall,16593281.5
netherlands,2010,Female,0 to 9,886463
netherlands,2010,Female,10 to 19,977944
netherlands,2010,Female,100 and over,0
netherlands,2010,Female,20 to 29,1003121
netherlands,2010,Female,30 to 39,1061702
netherlands,2010,Female,40 to 49,1285682.5
netherlands,2010,Female,50 to 59,1140714.5
netherlands,2010,Female,60 to 69,953773
netherlands,2010,Female,70 to 79,621460.5
netherlands,2010,Female,80 to 89,379796.5
netherlands,2010,Female,90 to 99,63095
netherlands,2010,Female,Overall,8373752
netherlands,2010,Male,0 to 9,928517.5
netherlands,2010,Male,10 to 19,1024149.5
netherlands,2010,Male,100 and over,0
netherlands,2010,Male,20 to 29,1022440.5
netherlands,2010,Male,30 to 39,1063595.5
netherlands,2010,Male,40 to 49,1310634.5
netherlands,2010,Male,50 to 59,1151053.5
netherlands,2010,Male,60 to 69,950322
netherlands,2010,Male,70 to 79,530673
netherlands,2010,Male,80 to 89,216887.5
netherlands,2010,Male,90 to 99,21256
netherlands,2010,Male,Overall,8219529.5
netherlands,2011,Both,0 to 9,1796400.5
netherlands,2011,Both,10 to 19,2003822.5
netherlands,2011,Both,100 and over,0
netherlands,2011,Both,20 to 29,2051073.5
netherlands,2011,Both,30 to 39,2080261.5
netherlands,2011,Both,40 to 49,2587847.5
netherlands,2011,Both,50 to 59,2326021
netherlands,2011,Both,60 to 69,1954390
netherlands,2011,Both,70 to 79,1171245
netherlands,2011,Both,80 to 89,608387
netherlands,2011,Both,90 to 99,90723.5
netherlands,2011,Both,Overall,16670172
netherlands,2011,Female,0 to 9,877228.5
netherlands,2011,Female,10 to 19,978688
netherlands,2011,Female,100 and over,0
netherlands,2011,Female,20 to 29,1015515.5
netherlands,2011,Female,30 to 39,1040247
netherlands,2011,Female,40 to 49,1282835
netherlands,2011,Female,50 to 59,1158622.5
netherlands,2011,Female,60 to 69,979130.5
netherlands,2011,Female,70 to 79,627889
netherlands,2011,Female,80 to 89,383712.5
netherlands,2011,Female,90 to 99,67240
netherlands,2011,Female,Overall,8411108.5
netherlands,2011,Male,0 to 9,919172
netherlands,2011,Male,10 to 19,1025134.5
netherlands,2011,Male,100 and over,0
netherlands,2011,Male,20 to 29,1035558
netherlands,2011,Male,30 to 39,1040014.5
netherlands,2011,Male,40 to 49,1305012.5
netherlands,2011,Male,50 to 59,1167398.5
netherlands,2011,Male,60 to 69,975259.5
netherlands,2011,Male,70 to 79,543356
netherlands,2011,Male,80 to 89,224674.5
netherlands,2011,Male,90 to 99,23483.5
netherlands,2011,Male,Overall,8259063.5
netherlands,2012,Both,0 to 9,1774184
netherlands,2012,Both,10 to 19,2005496
netherlands,2012,Both,100 and over,0
netherlands,2012,Both,20 to 29,2074261.5
netherlands,2012,Both,30 to 39,2040966.5
netherlands,2012,Both,40 to 49,2564985.5
netherlands,2012,Both,50 to 59,2355450
netherlands,2012,Both,60 to 69,2003978.5
netherlands,2012,Both,70 to 79,1194829.5
netherlands,2012,Both,80 to 89,621201.5
netherlands,2012,Both,90 to 99,95879
netherlands,2012,Both,Overall,16731232
netherlands,2012,Female,0 to 9,866166.5
netherlands,2012,Female,10 to 19,979747
netherlands,2012,Female,100 and over,0
netherlands,2012,Female,20 to 29,1026577
netherlands,2012,Female,30 to 39,1020396.5
netherlands,2012,Female,40 to 49,1273852.5
netherlands,2012,Female,50 to 59,1174033.5
netherlands,2012,Female,60 to 69,1004269
netherlands,2012,Female,70 to 79,636484
netherlands,2012,Female,80 to 89,388341.5
netherlands,2012,Female,90 to 99,70599.5
netherlands,2012,Female,Overall,8440467
netherlands,2012,Male,0 to 9,908017.5
netherlands,2012,Male,10 to 19,1025749
netherlands,2012,Male,100 and over,0
netherlands,2012,Male,20 to 29,1047684.5
netherlands,2012,Male,30 to 39,1020570
netherlands,2012,Male,40 to 49,1291133
netherlands,2012,Male,50 to 59,1181416.5
netherlands,2012,Male,60 to 69,999709.5
netherlands,2012,Male,70 to 79,558345.5
netherlands,2012,Male,80 to 89,232860
netherlands,2012,Male,90 to 99,25279.5
netherlands,2012,Male,Overall,8290765
netherlands,2013,Both,0 to 9,1747811
netherlands,2013,Both,10 to 19,2008283
netherlands,2013,Both,100 and over,0
netherlands,2013,Both,20 to 29,2093121
netherlands,2013,Both,30 to 39,2018528
netherlands,2013,Both,40 to 49,2519751
netherlands,2013,Both,50 to 59,2389822.5
netherlands,2013,Both,60 to 69,2040297
netherlands,2013,Both,70 to 79,1231341.5
netherlands,2013,Both,80 to 89,629932
netherlands,2013,Both,90 to 99,101521.5
netherlands,2013,Both,Overall,16780408.5
netherlands,2013,Female,0 to 9,853051.5
netherlands,2013,Female,10 to 19,980981.5
netherlands,2013,Female,100 and over,0
netherlands,2013,Female,20 to 29,1035671
netherlands,2013,Female,30 to 39,1008884
netherlands,2013,Female,40 to 49,1254021
netherlands,2013,Female,50 to 59,1191451
netherlands,2013,Female,60 to 69,1023077
netherlands,2013,Female,70 to 79,652234.5
netherlands,2013,Female,80 to 89,390370.5
netherlands,2013,Female,90 to 99,74258
netherlands,2013,Female,Overall,8464000
netherlands,2013,Male,0 to 9,894759.5
netherlands,2013,Male,10 to 19,1027301.5
netherlands,2013,Male,100 and over,0
netherlands,2013,Male,20 to 29,1057450
netherlands,2013,Male,30 to 39,1009644
netherlands,2013,Male,40 to 49,1265730
netherlands,2013,Male,50 to 59,1198371.5
netherlands,2013,Male,60 to 69,1017220
netherlands,2013,Male,70 to 79,579107
netherlands,2013,Male,80 to 89,239561.5
netherlands,2013,Male,90 to 99,27263.5
netherlands,2013,Male,Overall,8316408.5
netherlands,2014,Both,0 to 9,1728993.5
netherlands,2014,Both,10 to 19,2005185
netherlands,2014,Both,100 and over,0
netherlands,2014,Both,20 to 29,2110890
netherlands,2014,Both,30 to 39,2012505.5
netherlands,2014,Both,40 to 49,2464062
netherlands,2014,Both,50 to 59,2426238
netherlands,2014,Both,60 to 69,2070929.5
netherlands,2014,Both,70 to 79,1273403.5
netherlands,2014,Both,80 to 89,641939.5
netherlands,2014,Both,90 to 99,105985.5
netherlands,2014,Both,Overall,16840132
netherlands,2014,Female,0 to 9,843614
netherlands,2014,Female,10 to 19,979653
netherlands,2014,Female,100 and over,0
netherlands,2014,Female,20 to 29,1043576.5
netherlands,2014,Female,30 to 39,1004785
netherlands,2014,Female,40 to 49,1228820
netherlands,2014,Female,50 to 59,1209724.5
netherlands,2014,Female,60 to 69,1038763
netherlands,2014,Female,70 to 79,671146
netherlands,2014,Female,80 to 89,394003.5
netherlands,2014,Female,90 to 99,77180.5
netherlands,2014,Female,Overall,8491266
netherlands,2014,Male,0 to 9,885379.5
netherlands,2014,Male,10 to 19,1025532
netherlands,2014,Male,100 and over,0
netherlands,2014,Male,20 to 29,1067313.5
netherlands,2014,Male,30 to 39,1007720.5
netherlands,2014,Male,40 to 49,1235242
netherlands,2014,Male,50 to 59,1216513.5
netherlands,2014,Male,60 to 69,1032166.5
netherlands,2014,Male,70 to 79,602257.5
netherlands,2014,Male,80 to 89,247936
netherlands,2014,Male,90 to 99,28805
netherlands,2014,Male,Overall,8348866
netherlands,2015,Both,0 to 9,1718289
netherlands,2015,Both,10 to 19,2004387.5
netherlands,2015,Both,100 and over,2830.5
netherlands,2015,Both,20 to 29,2125659
netherlands,2015,Both,30 to 39,2022979
netherlands,2015,Both,40 to 49,2406672.5
netherlands,2015,Both,50 to 59,2455780.5
netherlands,2015,Both,60 to 69,2111083
netherlands,2015,Both,70 to 79,1305691.5
netherlands,2015,Both,80 to 89,654618.5
netherlands,2015,Both,90 to 99,131932
netherlands,2015,Both,Overall,16939923
netherlands,2015,Female,0 to 9,838407
netherlands,2015,Female,10 to 19,978794.5
netherlands,2015,Female,100 and over,2437
netherlands,2015,Female,20 to 29,1049565
netherlands,2015,Female,30 to 39,1009167.5
netherlands,2015,Female,40 to 49,1202500
netherlands,2015,Female,50 to 59,1223505.5
netherlands,2015,Female,60 to 69,1059962.5
netherlands,2015,Female,70 to 79,685540.5
netherlands,2015,Female,80 to 89,398023
netherlands,2015,Female,90 to 99,97024
netherlands,2015,Female,Overall,8544926.5
netherlands,2015,Male,0 to 9,879882
netherlands,2015,Male,10 to 19,1025593
netherlands,2015,Male,100 and over,393.5
netherlands,2015,Male,20 to 29,1076094
netherlands,2015,Male,30 to 39,1013811.5
netherlands,2015,Male,40 to 49,1204172.5
netherlands,2015,Male,50 to 59,1232275
netherlands,2015,Male,60 to 69,1051120.5
netherlands,2015,Male,70 to 79,620151
netherlands,2015,Male,80 to 89,256595.5
netherlands,2015,Male,90 to 99,34908
netherlands,2015,Male,Overall,8394996.5
netherlands,2016,Both,0 to 9,1710628.5
netherlands,2016,Both,10 to 19,2006249
netherlands,2016,Both,100 and over,2892
netherlands,2016,Both,20 to 29,2141476.5
netherlands,2016,Both,30 to 39,2044328.5
netherlands,2016,Both,40 to 49,2355048.5
netherlands,2016,Both,50 to 59,2476966.5
netherlands,2016,Both,60 to 69,2094158
netherlands,2016,Both,70 to 79,1396048.5
netherlands,2016,Both,80 to 89,667438
netherlands,2016,Both,90 to 99,135079.5
netherlands,2016,Both,Overall,17030313.5
netherlands,2016,Female,0 to 9,834602
netherlands,2016,Female,10 to 19,979295.5
netherlands,2016,Female,100 and over,2476.5
netherlands,2016,Female,20 to 29,1054842.5
netherlands,2016,Female,30 to 39,1019179.5
netherlands,2016,Female,40 to 49,1177899
netherlands,2016,Female,50 to 59,1233889.5
netherlands,2016,Female,60 to 69,1052027.5
netherlands,2016,Female,70 to 79,729360.5
netherlands,2016,Female,80 to 89,402172
netherlands,2016,Female,90 to 99,98450.5
netherlands,2016,Female,Overall,8584195
netherlands,2016,Male,0 to 9,876026.5
netherlands,2016,Male,10 to 19,1026953.5
netherlands,2016,Male,100 and over,415.5
netherlands,2016,Male,20 to 29,1086634
netherlands,2016,Male,30 to 39,1025149
netherlands,2016,Male,40 to 49,1177149.5
netherlands,2016,Male,50 to 59,1243077
netherlands,2016,Male,60 to 69,1042130.5
netherlands,2016,Male,70 to 79,666688
netherlands,2016,Male,80 to 89,265266
netherlands,2016,Male,90 to 99,36629
netherlands,2016,Male,Overall,8446118.5
netherlands,2017,Both,0 to 9,1706480.5
netherlands,2017,Both,10 to 19,2004786
netherlands,2017,Both,100 and over,2954
netherlands,2017,Both,20 to 29,2161154
netherlands,2017,Both,30 to 39,2071678.5
netherlands,2017,Both,40 to 49,2305375.5
netherlands,2017,Both,50 to 59,2494710.5
netherlands,2017,Both,60 to 69,2088972.5
netherlands,2017,Both,70 to 79,1477267.5
netherlands,2017,Both,80 to 89,680543
netherlands,2017,Both,90 to 99,137373.5
netherlands,2017,Both,Overall,17131295.5
netherlands,2017,Female,0 to 9,831978.5
netherlands,2017,Female,10 to 19,978214.5
netherlands,2017,Female,100 and over,2510
netherlands,2017,Female,20 to 29,1064340.5
netherlands,2017,Female,30 to 39,1031132.5
netherlands,2017,Female,40 to 49,1154938.5
netherlands,2017,Female,50 to 59,1242276.5
netherlands,2017,Female,60 to 69,1049831
netherlands,2017,Female,70 to 79,769198.5
netherlands,2017,Female,80 to 89,406685.5
netherlands,2017,Female,90 to 99,99118
netherlands,2017,Female,Overall,8630224
netherlands,2017,Male,0 to 9,874502
netherlands,2017,Male,10 to 19,1026571.5
netherlands,2017,Male,100 and over,444
netherlands,2017,Male,20 to 29,1096813.5
netherlands,2017,Male,30 to 39,1040546
netherlands,2017,Male,40 to 49,1150437
netherlands,2017,Male,50 to 59,1252434
netherlands,2017,Male,60 to 69,1039141.5
netherlands,2017,Male,70 to 79,708069
netherlands,2017,Male,80 to 89,273857.5
netherlands,2017,Male,90 to 99,38255.5
netherlands,2017,Male,Overall,8501071.5
netherlands,2018,Both,0 to 9,1695253.5
netherlands,2018,Both,10 to 19,1999100.5
netherlands,2018,Both,100 and over,2931.5
netherlands,2018,Both,20 to 29,2187177
netherlands,2018,Both,30 to 39,2099765.5
netherlands,2018,Both,40 to 49,2258228.5
netherlands,2018,Both,50 to 59,2511406.5
netherlands,2018,Both,60 to 69,2099652.5
netherlands,2018,Both,70 to 79,1539419
